Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Landing Page,100,1396,1283,1989,2213,2854,705,2874,0.000%,.98955,1187.26,3.04
Login,100,14070,12558,27276,27998,28315,1172,28607,0.000%,.78228,158.34,2.59
View Course,300,4969,4419,8717,10064,11165,797,17311,0.000%,2.01272,438.05,4.75
Quiz,100,3048,2615,5571,6073,7647,318,7771,0.000%,.73948,90.56,0.33
Moodle Assignment,100,3941,3228,6308,6786,8899,722,45140,0.000%,.70763,88.97,0.31
Forum,100,4219,3733,7435,8523,10137,860,10603,0.000%,.68192,131.98,0.30
Course View,100,4353,3791,7870,8564,10796,847,11068,0.000%,.68121,134.12,0.90
Download File,100,1545,1338,2265,3149,3816,886,3968,0.000%,.68046,693.51,0.41
Home Page,100,4192,3225,7598,9569,10399,550,45028,0.000%,.68301,132.72,0.58
Log Out,100,1742,1448,3032,4034,5385,279,5579,0.000%,.69030,74.29,0.31
TOTAL,1200,4451,3014,8632,11335,27276,279,45140,0.000%,7.63942,2555.94,11.47
