Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Landing Page,100,1758,1783,2487,2676,2807,842,4418,0.000%,.98289,1192.19,3.65
Login,100,20363,22054,33097,33495,33987,1239,34024,0.000%,.74994,168.92,2.60
View Course,300,8313,9410,11965,12296,13205,736,14455,0.000%,1.77535,400.25,4.43
Quiz,100,5170,5942,7508,7682,7807,587,7962,0.000%,.67925,88.36,0.32
Moodle Assignment,100,6261,6769,9065,9331,9619,453,11120,0.000%,.62519,83.36,0.29
Forum,100,7559,7859,11039,11521,12586,1003,13309,0.000%,.58706,118.34,0.27
Course View,100,7526,7461,11108,11846,12166,1287,12255,0.000%,.57578,117.87,0.82
Download File,100,2284,2194,3091,3217,3657,1007,6901,0.000%,.57571,591.04,0.38
Home Page,100,6751,6530,10948,11617,11962,1649,12622,0.000%,.57282,122.12,0.51
Log Out,100,2938,2859,5041,5432,6130,337,6485,0.000%,.57711,66.47,0.28
TOTAL,1200,7129,6267,11873,17668,33062,337,34024,0.000%,6.50992,2245.52,10.59
