Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Landing Page,100,1076,1017,1294,1599,2528,583,2837,0.000%,.98204,1179.95,3.02
Login,100,7313,7703,12267,13601,14780,709,15124,0.000%,.88413,179.86,2.93
View Course,300,2629,2726,4316,4532,5724,488,5997,0.000%,2.48309,542.45,5.94
Quiz,100,1585,1722,2370,2728,3978,309,4312,0.000%,.86286,105.70,0.38
Moodle Assignment,100,1874,1816,3038,3448,4662,540,4708,0.000%,.84753,106.59,0.38
Forum,100,2256,2057,3717,4136,5290,503,5798,0.000%,.84150,162.84,0.37
Course View,100,2421,2275,3770,4241,5759,548,5767,0.000%,.84240,166.12,1.15
Download File,100,1089,1046,1386,1484,1633,652,4028,0.000%,.84032,856.79,0.51
Home Page,100,140,100,151,177,1501,55,2021,0.000%,.84701,0.85,0.36
Log Out,100,1030,973,1702,1991,3002,153,3367,0.000%,.84658,91.17,0.38
TOTAL,1200,2222,1628,4241,5997,12090,55,15124,0.000%,9.64289,3075.76,14.26
