capability,Manager,Course_Creator,Tutor,Non_Edit,Student,Guest,Course_Administrator,UCL_Support_Staff,Participant,Authenticated_user,Enrolment_keyholder,Service_Desk_Administrator,CALT_Support,Sub_Administrator,Question_Sharer,Overviewing_Advisor,Report_Reader,Report_Writer,Leader,Library_Administrator,Webservice_role,Personal_Tutor_Role,Course_Administrator_no_email,MyFeedback_Departmental_Administrator,Digital_Education_Admin,QAA_Reviewer,Non_editing_Tutor_no_emails
mod/collaborate:moderate,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/collaborate:participate,NULL,NULL,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/collaborate:view,X,NULL,X,X,X,X,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/cpblog:addinstance,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/cpcontentitem:addinstance,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/cppodcast:addinstance,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/cpprivatejournal:addinstance,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/cpwiki:addinstance,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/data:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/data:approve,X,NULL,"X,X,X","X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/data:comment,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,"X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/data:exportallentries,X,NULL,X,"X,X,X",NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/data:exportentry,X,NULL,X,"X,X,X",NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
