capability,Manager,Course_Creator,Tutor,Non_Edit,Student,Guest,Course_Administrator,UCL_Support_Staff,Participant,Authenticated_user,Enrolment_keyholder,Service_Desk_Administrator,CALT_Support,Sub_Administrator,Question_Sharer,Overviewing_Advisor,Report_Reader,Report_Writer,Leader,Library_Administrator,Webservice_role,Personal_Tutor_Role,Course_Administrator_no_email,MyFeedback_Departmental_Administrator,Digital_Education_Admin,QAA_Reviewer,Non_editing_Tutor_no_emails
mod/forum:addquestion,"X,X",NULL,"X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",X,X,NULL,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:allowforcesubscribe,NULL,NULL,"X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X",X,"X,X",NULL,"X,X,X",NULL,NULL,NULL,"X,X",NULL,NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X",NULL,NULL,X,NULL,NULL,"X,X","X,X"
mod/forum:canposttomygroups,"X,X",NULL,"X,X,X,X,X","X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,"X,X,X,X,X,X",NULL,NULL,NULL,"X,X",NULL,NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X","X,X",NULL,X,NULL,NULL,NULL,NULL
mod/forum:createattachment,"X,X",NULL,"X,X,X,X,X,X","X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,"X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X","X,X",NULL,X,NULL,NULL,X,X
mod/forum:deleteanypost,"X,X",NULL,"X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,X,NULL,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X","X,X",NULL,X,NULL,NULL,NULL,NULL
mod/forum:deleteownpost,"X,X",NULL,"X,X,X,X,X,X","X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,"X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X","X,X",NULL,X,NULL,NULL,"X,X","X,X"
mod/forum:editanypost,"X,X",NULL,"X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,X,NULL,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X","X,X",NULL,X,NULL,NULL,NULL,NULL
mod/forum:exportdiscussion,"X,X",NULL,"X,X,X,X,X,X","X,X,X,X","X,X",X,X,NULL,X,NULL,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X","X,X",NULL,X,NULL,NULL,NULL,NULL
mod/forum:exportownpost,X,NULL,"X,X,X,X,X,X","X,X,X,X","X,X,X",X,X,"X,X","X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,X,X
mod/forum:exportpost,"X,X",NULL,"X,X,X,X,X,X","X,X,X,X","X,X",X,X,NULL,X,NULL,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:managesubscriptions,"X,X",NULL,"X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,X,NULL,NULL,NULL,X,"X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:movediscussions,X,NULL,"X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,"X,X,X,X",NULL,NULL,NULL,X,"X,X",NULL,X,NULL,NULL,"X,X,X,X","X,X","X,X",NULL,X,NULL,NULL,NULL,NULL
mod/forum:pindiscussions,"X,X",NULL,"X,X,X,X","X,X,X",NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,"X,X",NULL,NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:postwithoutthrottling,"X,X",NULL,"X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X",X,X,NULL,X,NULL,NULL,NULL,X,"X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:rate,X,NULL,"X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,"X,X,X,X",NULL,NULL,NULL,X,"X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:replynews,X,NULL,"X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",X,X,NULL,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,X,"X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:replypost,"X,X",NULL,"X,X,X,X,X","X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,X,"X,X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X","X,X",NULL,X,NULL,NULL,"X,X","X,X"
mod/forum:splitdiscussions,"X,X",NULL,"X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,"X,X,X,X",NULL,NULL,NULL,X,"X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:startdiscussion,"X,X",NULL,"X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X,X","X,X",NULL,X,NULL,NULL,"X,X","X,X"
mod/forum:viewallratings,X,NULL,"X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,X,"X,X",NULL,NULL,NULL,X,X,NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:viewanyrating,X,NULL,"X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,X,"X,X",NULL,NULL,NULL,X,X,NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:viewdiscussion,"X,X",NULL,"X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X",X,"X,X","X,X,X,X,X,X,X",X,NULL,NULL,"X,X","X,X",NULL,"X,X",NULL,NULL,"X,X,X,X,X,X","X,X,X,X","X,X",NULL,X,NULL,NULL,"X,X","X,X"
mod/forum:viewhiddentimedposts,"X,X",NULL,"X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,X,NULL,NULL,NULL,X,X,NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:viewqandawithoutposting,X,NULL,"X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X",X,NULL,"X,X,X",NULL,NULL,NULL,X,"X,X",NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/forum:viewrating,X,NULL,"X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,"X,X",NULL,NULL,NULL,X,X,NULL,"X,X",NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,X,X
mod/forum:viewsubscribers,X,NULL,"X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X",X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,"X,X,X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/glossary:approve,X,NULL,X,X,"X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:comment,X,NULL,X,X,"X,X,X,X,X,X",NULL,X,NULL,"X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/glossary:export,X,NULL,X,X,"X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:exportentry,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:exportownentry,X,NULL,X,X,"X,X,X",NULL,X,X,"X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/glossary:import,X,NULL,X,X,"X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:managecategories,X,NULL,X,X,"X,X,X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:managecomments,X,NULL,X,X,"X,X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:manageentries,X,NULL,X,X,"X,X,X,X,X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:rate,X,NULL,X,X,"X,X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:view,X,NULL,X,X,"X,X",X,X,X,"X,X",NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/glossary:viewallratings,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:viewanyrating,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:viewrating,X,NULL,X,X,"X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/glossary:write,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/helixmedia:addinstance,X,NULL,"X,X",NULL,"X,X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/helixmedia:manage,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/helixmedia:view,X,NULL,X,X,X,X,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hotpot:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/hotpot:attempt,X,NULL,X,X,"X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hotpot:deleteallattempts,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hotpot:deletemyattempts,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hotpot:manage,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hotpot:preview,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hotpot:reviewallattempts,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hotpot:reviewmyattempts,X,NULL,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hotpot:view,X,NULL,X,X,"X,X",X,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hotquestion:addinstance,X,NULL,"X,X",NULL,"X,X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hotquestion:ask,NULL,NULL,X,X,"X,X,X,X,X",NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/hotquestion:manage,NULL,NULL,"X,X",NULL,"X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/hotquestion:manageentries,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hotquestion:view,X,NULL,X,X,"X,X,X,X,X,X",X,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hotquestion:vote,NULL,NULL,X,X,"X,X,X,X,X,X",NULL,NULL,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
mod/hsuforum:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/hsuforum:addnews,X,NULL,X,X,"X,X,X,X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:addquestion,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:allowforcesubscribe,NULL,NULL,X,X,"X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/hsuforum:allowprivate,X,X,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:canposttomygroups,X,NULL,X,X,"X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:createattachment,X,NULL,X,X,"X,X,X,X,X,X,X",NULL,X,X,"X,X",NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hsuforum:deleteanypost,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:deleteownpost,X,NULL,X,X,"X,X,X,X,X,X,X",NULL,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hsuforum:editanypost,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:exportdiscussion,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:exportownpost,X,NULL,X,X,X,NULL,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hsuforum:exportpost,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:managesubscriptions,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:movediscussions,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:pindiscussions,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:postwithoutthrottling,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:rate,X,NULL,X,X,"X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:replynews,X,NULL,X,X,"X,X,X,X,X,X,X",NULL,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:replypost,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,X,"X,X",NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hsuforum:revealpost,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:splitdiscussions,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:startdiscussion,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,X,"X,X",NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hsuforum:viewallratings,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:viewanyrating,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/hsuforum:viewdiscussion,X,NULL,X,X,"X,X",X,X,X,"X,X",NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/hsuforum:viewflags,X,NULL,X,X,"X,X,X",X,X,X,X,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
